year,member_id,member_name,Bill_id,patron_type,patron_order,patron_role,is_chief_patron,is_chief_co_patron,is_co_patron
2026,H0173,Jeion A. Ward,HB1,1 - Chief Patron,1,Chief Patron,True,False,False
2026,H0297,Elizabeth R. Guzman,HB1,2 - Chief Co-Patron,2,Chief Co-Patron,False,True,False
2026,H0366,Phil M. Hernandez,HB1,3 - Chief Co-Patron,3,Chief Co-Patron,False,True,False
2026,H0375,Adele Y. McClure,HB1,4 - Chief Co-Patron,4,Chief Co-Patron,False,True,False
2026,H0386,Jessica L. Anderson,HB1,5 - Co-Patron,5,Co-Patron,False,False,True
2026,H0353,Bonita G. Anthony,HB1,6 - Co-Patron,6,Co-Patron,False,False,True
2026,H0311,Alex Q. Askew,HB1,7 - Co-Patron,7,Co-Patron,False,False,True
2026,H0334,Elizabeth B. Bennett-Parker,HB1,8 - Co-Patron,8,Co-Patron,False,False,True
2026,H0177,David L. Bulova,HB1,9 - Co-Patron,9,Co-Patron,False,False,True
2026,H0403,Gretchen M. Bulova,HB1,10 - Co-Patron,10,Co-Patron,False,False,True
2026,H0354,Katrina Callsen,HB1,11 - Co-Patron,11,Co-Patron,False,False,True
2026,H0387,"Karen R. ""Kacey"" Carnegie",HB1,12 - Co-Patron,12,Co-Patron,False,False,True
2026,H0212,Betsy B. Carr,HB1,13 - Co-Patron,13,Co-Patron,False,False,True
2026,H0388,Stacey Annie Carroll,HB1,14 - Co-Patron,14,Co-Patron,False,False,True
2026,H0336,Nadarius E. Clark,HB1,15 - Co-Patron,15,Co-Patron,False,False,True
2026,H0355,Laura Jane Cohen,HB1,16 - Co-Patron,16,Co-Patron,False,False,True
2026,H0314,Joshua G. Cole,HB1,17 - Co-Patron,17,Co-Patron,False,False,True
2026,H0389,Nicole Cole,HB1,18 - Co-Patron,18,Co-Patron,False,False,True
2026,H0295,Kelly K. Convirs-Fowler,HB1,19 - Co-Patron,19,Co-Patron,False,False,True
2026,H0356,Rae Cousins,HB1,20 - Co-Patron,20,Co-Patron,False,False,True
2026,H0294,Karrie K. Delaney,HB1,21 - Co-Patron,21,Co-Patron,False,False,True
2026,H0391,Lindsey Dougherty,HB1,22 - Co-Patron,22,Co-Patron,False,False,True
2026,H0392,Mark C. Downey,HB1,23 - Co-Patron,23,Co-Patron,False,False,True
2026,H0360,Michael B. Feggans,HB1,24 - Co-Patron,24,Co-Patron,False,False,True
2026,H0393,Lily V. Franklin,HB1,25 - Co-Patron,25,Co-Patron,False,False,True
2026,H0404,Margaret A. Franklin,HB1,26 - Co-Patron,26,Co-Patron,False,False,True
2026,H0361,Debra D. Gardner,HB1,27 - Co-Patron,27,Co-Patron,False,False,True
2026,H0349,Jackie H. Glass,HB1,28 - Co-Patron,28,Co-Patron,False,False,True
2026,H0285,"C.E. Cliff Hayes, Jr.",HB1,29 - Co-Patron,29,Co-Patron,False,False,True
2026,H0317,Dan I. Helmer,HB1,30 - Co-Patron,30,Co-Patron,False,False,True
