year,member_id,MBR_NAME,party,topic_name,classification,topic_vote_events,yes_votes,no_votes,directional_topic_votes,voting_tendency,yes_pct,no_pct
2025,H0368,Michael J. Jones,D,Agriculture and Food,Derived from LIS bill description,11,9,0,9,INSUFFICIENT DATA,100.0,0.0
2025,H0362,"Thomas A. Garrett, Jr.",R,Agriculture and Food,Derived from LIS bill description,10,9,0,9,INSUFFICIENT DATA,100.0,0.0
2025,H0337,A.C. Cordoza,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0378,Chris Obenshain,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0379,David Owen,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0377,Delores Oates,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0384,Eric Phillips,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0367,Geary Higgins,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0373,Ian T. Lovejoy,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0262,"James A. ""Jay"" Leftwich",R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0352,"Jonathan ""Jed"" Arnold",R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0358,"Mark L. Earley, Jr.",R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0376,Paul V. Milde,R,Agriculture and Food,Derived from LIS bill description,10,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0325,Wendell S. Walker,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0357,Will Davis,R,Agriculture and Food,Derived from LIS bill description,9,8,1,9,INSUFFICIENT DATA,88.88888888888889,11.11111111111111
2025,H0322,Don Scott,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0334,Elizabeth B. Bennett-Parker,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0351,Holly M. Seibold,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0382,Joshua E. Thomas,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0370,Karen Keys-Gamarra,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0354,Katrina Callsen,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0264,Marcus B. Simon,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0374,Marty Martinez,D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0365,"Rozia A. Henson, Jr.",D,Agriculture and Food,Derived from LIS bill description,9,7,2,9,INSUFFICIENT DATA,77.77777777777779,22.22222222222222
2025,H0206,Barry D. Knight,R,Agriculture and Food,Derived from LIS bill description,10,3,1,4,INSUFFICIENT DATA,75.0,25.0
2025,H0385,JJ Singh,D,Agriculture and Food,Derived from LIS bill description,9,6,2,8,INSUFFICIENT DATA,75.0,25.0
2025,H0224,James W. Morefield,R,Agriculture and Food,Derived from LIS bill description,10,6,2,8,INSUFFICIENT DATA,75.0,25.0
2025,H0314,Joshua G. Cole,D,Agriculture and Food,Derived from LIS bill description,9,6,2,8,INSUFFICIENT DATA,75.0,25.0
2025,H0361,Debra D. Gardner,D,Agriculture and Food,Derived from LIS bill description,9,5,2,7,INSUFFICIENT DATA,71.42857142857143,28.57142857142857
2025,H0150,"Daniel W. Marshall, III",R,Agriculture and Food,Derived from LIS bill description,19,5,5,10,MIXED,50.0,50.0
2025,H0383,Eric R. Zehr,R,Agriculture and Food,Derived from LIS bill description,12,11,1,12,YES,91.66666666666666,8.333333333333332
2025,H0335,Mike A. Cherry,R,Agriculture and Food,Derived from LIS bill description,11,10,1,11,YES,90.9090909090909,9.090909090909092
2025,H0136,"Thomas C. Wright, Jr.",R,Agriculture and Food,Derived from LIS bill description,14,10,1,11,YES,90.9090909090909,9.090909090909092
2025,H0363,W. Chad Green,R,Agriculture and Food,Derived from LIS bill description,11,10,1,11,YES,90.9090909090909,9.090909090909092
2025,H0313,Amanda E. Batten,R,Agriculture and Food,Derived from LIS bill description,10,9,1,10,YES,90.0,10.0
2025,H0347,"H. Otto Wachsmann, Jr.",R,Agriculture and Food,Derived from LIS bill description,10,9,1,10,YES,90.0,10.0
2025,H0346,Kim A. Taylor,R,Agriculture and Food,Derived from LIS bill description,10,9,1,10,YES,90.0,10.0
2025,H0279,Nicholas J. Freitas,R,Agriculture and Food,Derived from LIS bill description,10,9,1,10,YES,90.0,10.0
2025,H0342,Phillip A. Scott,R,Agriculture and Food,Derived from LIS bill description,10,9,1,10,YES,90.0,10.0
2025,H0364,Timothy P. Griffin,R,Agriculture and Food,Derived from LIS bill description,10,9,1,10,YES,90.0,10.0
